Isolate	YearMonth	year	month	species	final genotype	name	confidence	num QRDR	parC_S80I	gyrA_S83L	gyrA_S83A	gyrA_D87G	gyrA_D87N	gyrA_D87Y	ESBL	Quinolone	Other antimicrobial	Trimethoprim	Quinolone/Triclosan	Streptomycin	Sulfonamide	Tetracycline	Macrolide	Gentamicin	Chloramphenicol	Beta-lactamase (not ESBL or carbapenemase)	Beta-lactamase (unknown spectrum)	ESBL (AmpC type)	NC_007385_plasmid_cover	NC_009345_plasmid_cover	NC_009346_plasmid_cover	NC_009347_plasmid_cover	pKSR100_plasmid_cover	ipaH	VIRULENCE_PLASMID	CLUSTER	SEROTYPE	O_ANTIGEN	H_ANTIGEN
AUSMDU00042638	2020_02	2020	2	S. sonnei	3.7.29.1.4.1	Global III VN2.KH1.Aus	strong	1	0	1	0	0	0	0	blaCTX-M-27	gyrA_S83L	sat2	dfrA1	NA	"aadA1,aph(3'')-Ib,aph(6)-Id"	sul2	tet(A)	NA	NA	NA	NA	NA	NA	70-79%	60-69%	20-29%	>90%	70-79%	+	38	CSS	SS	SS	NA
AUSMDU00038533	2019_11	2019	11	S. sonnei	3.7.29.1.4.1	Global III VN2.KH1.Aus	strong	1	0	1	0	0	0	0	blaCTX-M-27	gyrA_S83L	sat2	dfrA1	NA	"aadA1,aph(3'')-Ib,aph(6)-Id"	sul2	tet(A)	"erm(B)*,mph(A)"	NA	NA	NA	NA	NA	<10%	60-69%	20-29%	>90%	80-89%	+	0	CSS	SS	NA	NA
AUSMDU00039843	2019_12	2019	12	S. sonnei	3.7.29.1.4.1	Global III VN2.KH1.Aus	strong	1	0	1	0	0	0	0	blaCTX-M-27	gyrA_S83L	sat2	dfrA1	NA	"aadA1,aph(3'')-Ib,aph(6)-Id"	sul2	tet(A)	"erm(B)*,mph(A)"	NA	NA	NA	NA	NA	<10%	60-69%	20-29%	>90%	80-89%	+	0	CSS	SS	NA	NA
AUSMDU00024429	2019_01	2019	1	S. sonnei	3.6.1.1.2	CipR.MSM5	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I"	sat2	"dfrA1*,dfrA17"	gyrA_D87G	"aadA5,aph(3'')-Ib*,aph(6)-Id"	"sul1,sul2"	tet(A)	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	<10%	>90%	20-29%	>90%	>90%	+	0	CSS	SS	NA	NA
AUSMDU00011293	2017_12	2017	12	S. sonnei	3.7.3	Global III	strong	0	0	0	0	0	0	0	NA	NA	sat2	dfrA1	NA	"aadA1,aph(3'')-Ib,aph(6)-Id"	sul2	tet(A)*	NA	NA	NA	NA	NA	NA	<10%	>90%	>90%	>90%	<10%	+	0	CSS	SS	NA	NA
AUSMDU00039767	2019_12	2019	12	S. sonnei	3.7.29.1.4.1	Global III VN2.KH1.Aus	strong	1	0	1	0	0	0	0	blaCTX-M-27	gyrA_S83L	sat2	dfrA1	NA	"aadA1,aph(3'')-Ib,aph(6)-Id"	sul2	tet(A)	"erm(B)*,mph(A)"	NA	NA	NA	NA	NA	<10%	60-69%	20-29%	>90%	80-89%	+	0	CSS	SS	NA	NA
AUSMDU00011480	2017_12	2017	12	S. sonnei	3.6.1.1.2	CipR.MSM5	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I"	sat2	"dfrA1*,dfrA17"	gyrA_D87G	"aadA5,aph(3'')-Ib*,aph(6)-Id"	"sul1,sul2"	NA	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	<10%	>90%	30-39%	>90%	>90%	+	0	CSS	SS	NA	NA
AUSMDU00012912	2018_02	2018	2	S. sonnei	3.6.1.1.2	CipR.MSM5	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I"	sat2	"dfrA1*,dfrA17"	gyrA_D87G	"aadA5,aph(3'')-Ib*,aph(6)-Id"	"sul1,sul2"	tet(A)	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	<10%	>90%	30-39%	>90%	>90%	+	0	CSS	SS	NA	NA
AUSMDU00033757	2019_08	2019	8	S. sonnei	3.6.1.1.2	CipR.MSM5	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I"	sat2	"dfrA1*,dfrA17"	gyrA_D87G	"aadA5,aph(3'')-Ib*"	"sul1,sul2"	tet(A)	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	<10%	>90%	20-29%	>90%	>90%	+	0	CSS	SS	NA	NA
AUSMDU00036897	2019_10	2019	10	S. sonnei	3.6.1.1.2	CipR.MSM5	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I"	sat2	"dfrA1*,dfrA17"	gyrA_D87G	"aadA5,aph(3'')-Ib*,aph(6)-Id"	"sul1,sul2"	tet(A)	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	<10%	>90%	20-29%	>90%	>90%	+	0	CSS	SS	NA	NA
AUSMDU00024820	2019_01	2019	1	S. sonnei	3.6.1.1.1	CipR.SEA	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I"	sat2	dfrA1*	gyrA_D87G	"aph(3'')-Ib*,aph(6)-Id"	sul2	tet(A)	NA	NA	NA	NA	NA	NA	<10%	>90%	30-39%	>90%	<10%	+	0	CSS	SS	NA	NA
AUSMDU00025312	2019_02	2019	2	S. sonnei	3.6.1.1.2	CipR.MSM5	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I"	sat2	"dfrA1*,dfrA17"	gyrA_D87G	"aadA5,aph(3'')-Ib*,aph(6)-Id"	"sul1,sul2"	tet(A)	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	30-39%	>90%	20-29%	>90%	>90%	+	0	CSS	SS	NA	NA
AUSMDU00012363	2018_01	2018	1	S. sonnei	3.6.1.1	CipR	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I"	sat2	dfrA1*	gyrA_D87G	"aph(3'')-Ib*,aph(6)-Id"	sul2	tet(A)	NA	NA	NA	NA	NA	NA	<10%	>90%	30-39%	<10%	<10%	+	0	CSS	SS	NA	NA
AUSMDU00012364	2018_01	2018	1	S. sonnei	3.6.1.1	CipR	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I"	sat2	dfrA1*	gyrA_D87G	"aph(3'')-Ib*,aph(6)-Id"	NA	tet(A)	NA	NA	NA	NA	NA	NA	<10%	>90%	30-39%	<10%	<10%	+	0	CSS	SS	NA	NA
AUSMDU00027384	2019_03	2019	3	S. sonnei	3.6.1.1.2	CipR.MSM5	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I"	sat2	"dfrA1*,dfrA17"	gyrA_D87G	"aadA5,aph(3'')-Ib*,aph(6)-Id"	"sul1,sul2"	tet(A)	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	<10%	>90%	20-29%	>90%	>90%	+	0	CSS	SS	NA	NA
AUSMDU00029579	2019_05	2019	5	S. sonnei	3.6.1.1.2	CipR.MSM5	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I"	sat2	"dfrA1*,dfrA17"	gyrA_D87G	"aadA5,aph(3'')-Ib*,aph(6)-Id"	"sul1,sul2"	NA	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	<10%	>90%	20-29%	>90%	>90%	+	0	CSS	SS	NA	NA
AUSMDU00013806	2018_03	2018	3	S. sonnei	3.7.3	Global III	strong	0	0	0	0	0	0	0	NA	NA	sat2	dfrA1	NA	"aadA1,aph(3'')-Ib,aph(6)-Id"	sul2	tet(A)*	NA	NA	NA	NA	NA	NA	<10%	>90%	>90%	<10%	10-19%	+	0	CSS	SS	NA	NA
AUSMDU00030252	2019_06	2019	6	S. sonnei	3.6.1.1.2	CipR.MSM5	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I"	sat2	"dfrA1*,dfrA17"	gyrA_D87G	"aadA5,aph(6)-Id"	"sul1,sul2"	tet(A)	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	50-59%	>90%	20-29%	>90%	>90%	+	3	CSS	SS	NA	NA
AUSMDU00032308	2019_07	2019	7	S. sonnei	3.6.1.1.2	CipR.MSM5	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I"	sat2	"dfrA1*,dfrA17"	gyrA_D87G	"aadA5,aph(3'')-Ib*,aph(6)-Id"	"sul1,sul2"	NA	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	70-79%	>90%	20-29%	>90%	>90%	+	38	CSS	SS	SS	NA
AUSMDU00009369	2016_10	2016	10	S. sonnei	3.7.29.1.2.1	Global III VN2.MSM2.Aus	strong	1	0	1	0	0	0	0	NA	gyrA_S83L	sat2	"dfrA1,dfrA17"	NA	"aadA1,aadA5,aph(3'')-Ib,aph(6)-Id"	"sul1,sul2"	tet(A)	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	<10%	>90%	20-29%	<10%	>90%	+	0	CSS	SS	NA	NA
AUSMDU00010003	2016_10	2016	10	S. sonnei	3.7.29.1.2.1	Global III VN2.MSM2.Aus	strong	1	0	1	0	0	0	0	NA	gyrA_S83L	sat2	"dfrA1,dfrA17"	NA	"aadA1,aadA5,aph(3'')-Ib*,aph(6)-Id"	"sul1,sul2"	tet(A)	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	<10%	>90%	20-29%	<10%	>90%	+	0	CSS	SS	NA	NA
AUSMDU00009488	2016_05	2016	5	S. sonnei	3.6.4	Central Asia III	strong	1	0	1	0	0	0	0	blaCTX-M-15	gyrA_S83L	sat2	dfrA1	NA	"aph(3'')-Ib*,aph(6)-Id"	sul2	tet(A)	NA	NA	NA	NA	NA	NA	<10%	>90%	30-39%	>90%	10-19%	+	0	CSS	SS	NA	NA
AUSMDU00009420	2017_06	2017	6	S. sonnei	3.7.29.1.4.1	Global III VN2.KH1.Aus	strong	1	0	1	0	0	0	0	blaCTX-M-27	gyrA_S83L	sat2	dfrA1	NA	"aadA1,aph(3'')-Ib,aph(6)-Id"	sul2	tet(A)	"erm(B)*,mph(A)"	NA	NA	NA	NA	NA	<10%	60-69%	20-29%	>90%	80-89%	+	0	CSS	SS	NA	NA
AUSMDU00008649	2017_06	2017	6	S. sonnei	3.7.29.1.4.1	Global III VN2.KH1.Aus	strong	1	0	1	0	0	0	0	blaCTX-M-27	gyrA_S83L	sat2	dfrA1	NA	"aadA1,aph(3'')-Ib,aph(6)-Id"	sul2	tet(A)	"erm(B)*,mph(A)"	NA	NA	NA	NA	NA	<10%	60-69%	20-29%	>90%	80-89%	+	0	CSS	SS	NA	NA
AUSMDU00044953	2020_03	2020	3	S. sonnei	3.7.29.1.4.1	Global III VN2.KH1.Aus	strong	1	0	1	0	0	0	0	blaCTX-M-27	gyrA_S83L	sat2	dfrA1	NA	"aadA1,aph(3'')-Ib,aph(6)-Id"	sul2	tet(A)	"erm(B)*,mph(A)"	NA	NA	NA	NA	NA	<10%	60-69%	20-29%	>90%	80-89%	+	0	CSS	SS	NA	NA
AUSMDU00015777	2018_05	2018	5	S. sonnei	3.6.1.1.2	CipR.MSM5	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I"	sat2	"dfrA1*,dfrA17"	gyrA_D87G	"aadA5,aph(3'')-Ib*,aph(6)-Id"	"sul1,sul2"	tet(A)	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	<10%	>90%	20-29%	>90%	>90%	+	0	CSS	SS	NA	NA
AUSMDU00016499	2018_05	2018	5	S. sonnei	3.6.1.1.2	CipR.MSM5	strong	3	1	1	0	1	0	0	blaCTX-M-55	"gyrA_S83L,parC_S80I"	sat2	"dfrA1*,dfrA17"	gyrA_D87G	"aadA5,aph(3'')-Ib*,aph(6)-Id"	"sul1,sul2"	tet(A)	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	<10%	>90%	20-29%	>90%	>90%	+	0	CSS	SS	NA	NA
AUSMDU00031534	2019_07	2019	7	S. sonnei	3.7.3	Global III	strong	0	0	0	0	0	0	0	blaCTX-M-15	qnrS1	sat2	dfrA1	NA	"aadA1,aph(3'')-Ib,aph(6)-Id"	sul2	tet(A)*	NA	NA	NA	NA	NA	NA	<10%	>90%	>90%	<10%	10-19%	+	0	CSS	SS	NA	NA
AUSMDU00008361	2016_03	2016	3	S. sonnei	3.7.29.1.2.1	Global III VN2.MSM2.Aus	strong	1	0	1	0	0	0	0	NA	gyrA_S83L	sat2	"dfrA1,dfrA17"	NA	"aadA1,aadA5,aph(3'')-Ib,aph(6)-Id"	"sul1,sul2"	tet(A)	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	<10%	>90%	20-29%	<10%	>90%	+	0	CSS	SS	NA	NA
AUSMDU00028600	2019_04	2019	4	S. sonnei	3.6.1.1.2	CipR.MSM5	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I"	sat2	"dfrA1*,dfrA17"	gyrA_D87G	"aadA5,aph(3'')-Ib*,aph(6)-Id"	"sul1,sul2"	NA	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	70-79%	>90%	20-29%	>90%	>90%	+	38	CSS	SS	SS	NA
AUSMDU00036803	2019_10	2019	10	S. sonnei	3.7.29.1.4.1	Global III VN2.KH1.Aus	strong	1	0	1	0	0	0	0	blaCTX-M-27	gyrA_S83L	sat2	dfrA1	NA	"aadA1,aph(3'')-Ib,aph(6)-Id"	sul2	tet(A)	"erm(B)*,mph(A)"	NA	NA	NA	NA	NA	<10%	60-69%	20-29%	>90%	80-89%	+	0	CSS	SS	NA	NA
AUSMDU00010044	2017_09	2017	9	S. sonnei	2.6.1	-	strong	0	0	0	0	0	0	0	NA	NA	NA	dfrA3	NA	NA	sul2	NA	NA	NA	NA	NA	NA	NA	<10%	10-19%	<10%	>90%	<10%	+	0	CSS	SS	NA	NA
AUSMDU00010163	2017_10	2017	10	S. sonnei	3.7.29.1.2.1	Global III VN2.MSM2.Aus	strong	1	0	1	0	0	0	0	NA	gyrA_S83L	sat2	"dfrA1,dfrA17"	NA	"aadA1,aadA5"	sul1	NA	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	70-79%	<10%	20-29%	<10%	>90%	+	38	CSS	SS	SS	NA
AUSMDU00037932	2019_11	2019	11	S. sonnei	3.6.1.1.2	CipR.MSM5	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I,qnrB19"	sat2	"dfrA1*,dfrA17"	gyrA_D87G	aadA5	sul1	NA	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	70-79%	<10%	30-39%	>90%	>90%	+	38	CSS	SS	SS	NA
AUSMDU00005735	2016_09	2016	9	S. sonnei	3.6.1.1.1	CipR.SEA	strong	3	1	1	0	1	0	0	blaCTX-M-55	"gyrA_S83L,parC_S80I"	sat2	dfrA1*	gyrA_D87G	"aph(3'')-Ib*,aph(6)-Id"	sul2	tet(A)	mph(A)	aac(3)-IIe	NA	NA	NA	NA	<10%	>90%	20-29%	>90%	20-29%	+	0	CSS	SS	NA	NA
AUSMDU00010002	2016_09	2016	9	S. sonnei	3.6.1.1.1	CipR.SEA	strong	3	1	1	0	1	0	0	blaCTX-M-55	"gyrA_S83L,parC_S80I"	sat2	dfrA1*	gyrA_D87G	"aph(3'')-Ib*,aph(6)-Id"	sul2	tet(A)	mph(A)	aac(3)-IIe	NA	NA	NA	NA	<10%	>90%	20-29%	>90%	20-29%	+	0	CSS	SS	NA	NA
AUSMDU00009376	2016_10	2016	10	S. sonnei	3.7.29.1.4.1	Global III VN2.KH1.Aus	strong	1	0	1	0	0	0	0	blaCTX-M-27	gyrA_S83L	sat2	dfrA1	NA	"aadA1,aph(3'')-Ib,aph(6)-Id"	sul2	tet(A)	mph(A)	NA	NA	NA	NA	NA	<10%	60-69%	20-29%	>90%	80-89%	+	0	CSS	SS	NA	NA
AUSMDU00009991	2016_07	2016	7	S. sonnei	3.7.29.1.2.1	Global III VN2.MSM2.Aus	strong	1	0	1	0	0	0	0	NA	gyrA_S83L	sat2	"dfrA1,dfrA17"	NA	"aadA1,aadA5,aph(3'')-Ib,aph(6)-Id"	"sul1,sul2"	tet(A)	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	<10%	>90%	20-29%	<10%	>90%	+	0	CSS	SS	NA	NA
AUSMDU00009993	2016_08	2016	8	S. sonnei	3.7.29.1.2.1	Global III VN2.MSM2.Aus	strong	1	0	1	0	0	0	0	NA	gyrA_S83L	sat2	"dfrA1,dfrA17"	NA	"aadA1,aadA5,aph(3'')-Ib,aph(6)-Id"	"sul1,sul2"	tet(A)	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	60-69%	>90%	20-29%	<10%	>90%	+	38	CSS	SS	SS	NA
AUSMDU00026706	2019_03	2019	3	S. sonnei	3.6.1.1.2	CipR.MSM5	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I"	sat2	"dfrA1*,dfrA17"	gyrA_D87G	"aadA5,aph(3'')-Ib*,aph(6)-Id"	"sul1,sul2"	tet(A)	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	<10%	>90%	20-29%	>90%	>90%	+	0	CSS	SS	NA	NA
AUSMDU00009531	2016_06	2016	6	S. sonnei	3.7.29.1.2.1	Global III VN2.MSM2.Aus	strong	1	0	1	0	0	0	0	NA	gyrA_S83L	sat2	"dfrA1,dfrA17"	NA	"aadA1,aadA5,aph(3'')-Ib,aph(6)-Id"	"sul1,sul2"	tet(A)	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	<10%	>90%	20-29%	<10%	>90%	+	0	CSS	SS	NA	NA
AUSMDU00024390	2018_12	2018	12	S. sonnei	3.6.1.1.2	CipR.MSM5	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I"	sat2	"dfrA1*,dfrA17"	gyrA_D87G	"aadA5,aph(6)-Id"	"sul1,sul2"	tet(A)	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	<10%	>90%	20-29%	>90%	>90%	+	0	CSS	SS	NA	NA
AUSMDU00021520	2018_10	2018	10	S. sonnei	3.6.1.1.2	CipR.MSM5	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I"	sat2	"dfrA1*,dfrA17"	gyrA_D87G	"aadA5,aph(3'')-Ib*,aph(6)-Id"	"sul1,sul2"	tet(A)	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	<10%	>90%	20-29%	>90%	>90%	+	0	CSS	SS	NA	NA
AUSMDU00025311	2018_11	2018	11	S. sonnei	3.6.1.1.2	CipR.MSM5	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I"	sat2	"dfrA1*,dfrA17"	gyrA_D87G	"aadA5,aph(3'')-Ib*,aph(6)-Id"	"sul1,sul2"	tet(A)	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	<10%	>90%	30-39%	>90%	>90%	+	0	CSS	SS	NA	NA
AUSMDU00025490	2019_02	2019	2	S. sonnei	3.6.1.1.2	CipR.MSM5	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I"	sat2	"dfrA1*,dfrA17"	gyrA_D87G	"aadA5,aph(3'')-Ib*,aph(6)-Id"	"sul1,sul2"	tet(A)	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	<10%	>90%	20-29%	>90%	>90%	+	0	CSS	SS	NA	NA
AUSMDU00026328	2019_02	2019	2	S. sonnei	3.6.1.1.2	CipR.MSM5	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I"	sat2	"dfrA1*,dfrA17"	gyrA_D87G	"aadA5,aph(3'')-Ib*,aph(6)-Id"	"sul1,sul2"	tet(A)	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	<10%	>90%	20-29%	>90%	>90%	+	0	CSS	SS	NA	NA
AUSMDU00010908	2017_11	2017	11	S. sonnei	3.6.1.1	CipR	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I"	sat2	dfrA1*	gyrA_D87G	"aph(3'')-Ib*,aph(6)-Id"	sul2	tet(A)	NA	NA	NA	NA	NA	NA	<10%	>90%	30-39%	>90%	10-19%	+	0	CSS	SS	NA	NA
AUSMDU00020144	2018_09	2018	9	S. sonnei	3.6.1.1.2	CipR.MSM5	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I"	sat2	"dfrA1*,dfrA17"	gyrA_D87G	"aadA5,aph(3'')-Ib*,aph(6)-Id*"	"sul1,sul2"	tet(A)	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	<10%	>90%	20-29%	>90%	>90%	+	0	CSS	SS	NA	NA
AUSMDU00021333	2018_10	2018	10	S. sonnei	3.6.1.1.2	CipR.MSM5	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I"	sat2	"dfrA1*,dfrA17"	gyrA_D87G	"aadA5,aph(3'')-Ib*,aph(6)-Id"	"sul1,sul2"	tet(A)	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	<10%	>90%	20-29%	>90%	>90%	+	0	CSS	SS	NA	NA
AUSMDU00038111	2019_11	2019	11	S. sonnei	3.7.30.1	Global III Middle East III	strong	0	0	0	0	0	0	0	blaCTX-M-15	qnrS1	sat2	dfrA1	NA	"aadA1,aph(3'')-Ib,aph(6)-Id"	sul2	tet(A)	NA	NA	NA	NA	NA	NA	<10%	>90%	>90%	>90%	10-19%	+	0	CSS	SS	NA	NA
AUSMDU00042640	2020_02	2020	2	S. sonnei	3.7.29.1.4.1	Global III VN2.KH1.Aus	strong	1	0	1	0	0	0	0	blaCTX-M-27	gyrA_S83L	sat2	dfrA1	NA	"aadA1,aph(3'')-Ib,aph(6)-Id"	sul2	tet(A)	"erm(B)*,mph(A)"	NA	NA	NA	NA	NA	<10%	60-69%	20-29%	<10%	80-89%	+	0	CSS	SS	NA	NA
AUSMDU00012898	2018_02	2018	2	S. sonnei	3.6.1.1.2	CipR.MSM5	strong	3	1	1	0	1	0	0	blaCTX-M-55	"gyrA_S83L,parC_S80I"	sat2	"dfrA1*,dfrA17"	gyrA_D87G	"aadA5,aph(3'')-Ib*,aph(6)-Id"	sul1	tet(A)	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	<10%	>90%	20-29%	>90%	>90%	+	0	CSS	SS	NA	NA
